olumlu,Kaliteli ürün uygun fiyat
olumlu,Teşekkürler
olumlu,Çok kaliteli ilk defa aldım mükemmel ötesi
olumlu,Kaliteli
olumlu,Kaliteli
olumlu,Olumlu olumsuz
olumlu,Güzel
olumlu,Kaliteli
olumlu,Gayet güzel.
olumlu,Harika
olumlu,HarAika fiyat
olumlu,Güzel ürün
olumlu,Çok güzel
olumlu,Kalite
olumlu,Kargo çok hızlıydı
olumlu,Kaliteli
olumlu,Çok güzel
olumlu,Kaliteli
olumlu,Güzel uygun
olumlu,Mükemmel
olumlu,Severek kullaniyoruz
olumlu,En uygun fiyat
olumlu,Müthiş
olumlu,Amazon farkı
olumlu,Beklediğim gibi
olumlu,100
olumlu,Fiyat Performans
olumlu,FİYAT PERFORMANS ÜRÜNÜ ÇOK KALİTELİ
olumlu,Süper japon
olumlu,Ürün
olumlu,Güzel
olumlu,Sağlam ve zamanlama çok iyi
olumlu,Bekelediğimiz den kaliteli
olumlu,Güzel
olumlu,Severek kullaniyoruz
olumlu,Başarılı ve Ekonomik bir Ürün.
olumlu,Goon
olumlu,Guzel
olumlu,Güzel
olumlu,F/P ürünü
olumlu,Urun performansı ve paketleme
olumlu,Harika hizmet
olumlu,Emiciliği çok iyi. Kolay kolay sızdırmıyor.
olumlu,Çok iyi
olumlu,Fiyat/performans
olumlu,İyi
olumlu,Alınabilir
olumlu,sorunsuz
olumlu,Sızdırma
olumlu,Kargo şirketi
olumlu,Güzel
olumlu,Tek kullandığımız
olumlu,Paketleme çok iyi
olumlu,Çok kaliteli
olumlu,Çok iyi
olumlu,Başlık
olumlu,Guzel
olumlu,İyi
olumlu,Molfix muadili cok güzel
olumlu,Tavsiye ederim
olumlu,Çok uygun güvenilir site
olumlu,Kötü Değil
olumlu,Kesinlikle sans verin
olumsuz,Bir daha asla.
olumsuz,Kalitesiz
olumsuz,Kalıbı biraz küçük
olumsuz,Bant tutmuyor
olumsuz,Kötü
olumsuz,Ürün çok kalitesiz
olumsuz,yumuşak
olumsuz,eksik gönderim
olumsuz,Yara yaptı
olumsuz,Yanlis urun
olumsuz,Ürünlerim eksik geldi
olumsuz,Tavsiye etmem
olumsuz,Para iadesini yapmadılar
olumsuz,Cırtları sorunlu yapışmıyor
olumsuz,Bantları hemen kopuyor
olumsuz,Pişikyapıyor
olumsuz,Sızdırıyor
olumsuz,Emici değil
olumsuz,Sızdırıyor
olumsuz,Berbat
olumsuz,Kalitesi düşük
olumsuz,Sızdırıyooo
olumsuz,Kesinlikle kötü hizmet
olumsuz,Sızdırıyor
olumsuz,Berbat bir bez hiç tavsiye etmiyorum bez çişi hiç hapsetmiyor direkt kıyafete geçiriyor
olumsuz,Uzak durun
olumsuz,Kolay açılıyor erkek bebek için çok uygun değil
olumsuz,Çok adi
olumsuz,SIZDIRMA PROBLEMİ.
olumsuz,Kargoda kırılmış dökülmüş ürün
olumsuz,Hasarlı ürünü getirmişler
olumsuz,ürün hasarlı deyip teslimat yapmadi
olumsuz,Kırık şişe
olumsuz,Sabunu da iade edeceğim aklıma gelmezdi
olumsuz,Çok kötü
olumsuz,Ellerim yara oldu
olumsuz,ÜRÜN ELİME ULAŞMADI
olumsuz,Sabun dediğiniz köpürür
olumsuz,Kapak kırık şekilde geldi
olumsuz,Kalitesiz paket
olumsuz,2 ürün de kırılmış ve akmış
olumsuz,Kokusu çok zayıf
olumsuz,Paketleme rezalet
olumsuz,Elleri cok kuruttu mahvetti
olumsuz,Koku çok kötü
olumsuz,patlak
olumsuz,Kapağı kırık ürünün kapağı bantla tutturulup gönderilmiş
olumsuz,Bulaşık deterjanı kokusu berbat
olumsuz,Çok kötü
olumsuz,Yetersiz
olumsuz,Aşırı kötü
olumsuz,yeniden başlatma sorunu
olumsuz,Memnun kalmadım
olumsuz,Kumanda bağlantısı kopuyor
olumsuz,Ürün çalışmıyor
olumsuz,çabuk bozuluyor
olumsuz,Berbat
olumsuz,Eskidi artık
olumsuz,Isınıyor
olumsuz,Sesli komut arızalı
olumsuz,Satıcıyı kesinlikle önermiyorum...
olumsuz,Parasını boşa harcamak isteyen alabilir.
olumsuz,Bozuk ürün
olumsuz,Kumanda eksik geldi.
olumsuz,Şarj adaptörü arızalı
olumsuz,Donuyor
olumsuz,Ben beğenmedim
olumsuz,Elinizde kalıyor
olumsuz,Çalışmıyor.
olumsuz,Ürün artık yavaş!
olumsuz,Ürün çalışmıyor
olumsuz,Yavaş
olumsuz,Beklentilerinizi düşürün. Bayağı düşürün.
olumsuz,Servis sorunu
olumsuz,Çöp
olumsuz,İnternete bağlanmıyor hatası.
olumsuz,Servis dezavantaj
olumsuz,Tavsiye etmiyorum
olumsuz,SERVİS SERVİS SERVİS
olumsuz,İnternete bağlanmıyor
olumsuz,ÜRÜNÜ 6 AYDIR KULLANAMIYORUM
olumsuz,Yavaş ve görüntüsü iyi değil
olumsuz,internet bağlantı sorunu
olumsuz,GARANTİ BELGESİ İTHALATÇI FİRMA ÇIKTI HİÇ BİR İŞE YARAMIYOR
olumsuz,Bir sene içinde bozuldu.
olumsuz,Cihaz çok Yavaş
olumsuz,Cihaz üretim hatalı
olumsuz,Ürüne hic bir xiaomi servisi destek vermiyor.
olumsuz,Wi-Fi bağlantısı vasatın altında
olumsuz,Amazon a teşekkürler ürünü kuramadım ama iade sorunu olmadı
olumsuz,Doğru dürüst çalışmıyor
olumsuz,Donuyor
olumsuz,Başta İyi Sonra Kötü
olumsuz,Hatalı ürün
olumsuz,kalite ve işçilik problemleri var. Beklediğim kalitede değil .
olumsuz,Kalitesiz Pahalı ve Konforsuz
olumsuz,Olumsuz yorumlar haklıymış..
olumsuz,kurulumu aşırı zor yanlış renk
olumsuz,Ürün HK.
olumsuz,Ürün Eksik
olumsuz,Tavsiye etmiyorum.
olumsuz,Mahvoldum
olumsuz,Bel yastığı çizgi çizgi oldu
olumsuz,Eksikler
olumsuz,Yorum Güncelleme
olumsuz,Tehlikeli
olumsuz,Kargo Gecikti ve Uyumsuz Çıktı
olumsuz,Sert kullanissiz
olumsuz,Şiddetli derecede boyun ve sırt ağrısı problemi
olumsuz,Eksik paket
olumsuz,Eksik ürün
olumsuz,Sğlam degil
olumsuz,Defolu geldi
olumsuz,PARLAKLIK GİTTİ
olumsuz,BEYENMEDIM
olumsuz,Değmez
olumsuz,Açılmış/kullanılmış ürün
olumsuz,Bozuk gönderme
olumsuz,Çok kötü 2 aya yakın kullandım söndü. Daha da yanmıyor
olumsuz,Hemen bozuldu
olumsuz,Uyumsuz
olumsuz,Çok kötü bir ürün USB yuvasına oturmuyor.
olumsuz,macbook' a takmak için alıyorsanız almayın.
olumsuz,gönderilen ürün çalışmıyor
olumsuz,Xiaomi 11T ile uyumlu değil
olumsuz,Tamamen işe yaramazpara tuzağı.
olumsuz,başarısız
olumsuz,tavsiye etmiyorum
olumsuz,Uzak durun
olumsuz,ürünler birkaç gün sonra çalışmıyor
olumsuz,Macbook için almayın
olumsuz,Ürün bozuk. Okuma yapmıyor.
olumsuz,Yerine oturmuyor
olumsuz,Kalitesiz ve Çabuk Bozuldu
olumsuz,Çalışmıyor
olumsuz,Macbook'da Çalışmıyor
olumsuz,Bozuk calismiyor
olumsuz,ürün bozuk geldi :(
olumsuz,Apple ile uyumsuz
olumsuz,Bilgisayar soketine girmiyor. Herkeste olmamis ama boyle bir ihtimal var aklinizda bulunsun
olumsuz,Bozuk çıktı
olumsuz,Type-C girişlerine takılamıyor.
olumsuz,sakın almayın
olumsuz,Arızalı
olumsuz,macbook air tam oturmuyor
olumsuz,Çalışmıyor!
olumsuz,Apple Mac mini 2020 modellerle uyumsuz
olumsuz,bağlantı kopuyor
olumsuz,Bozuk
olumsuz,Çalışmıyor
olumsuz,ÜRÜN BOZUK
olumsuz,1 ayda bozuldu
olumsuz,Çalışmadı
olumsuz,Kalitesiz ve bozuk
olumsuz,Bozuk geldi
olumsuz,Almaya değmez ucuz olduğuna aldanmayın.
olumsuz,Çalışmıyor.
olumsuz,macbook da çalışmıyor
olumsuz,bozuk urun
olumsuz,Macbookta çalışmadı
olumsuz,Çalışmıyo
olumsuz,Bozuk Ürün
olumsuz,Sakın almayın çalışmıyor!!
olumsuz,Takıp çıkarırken çok zorluyor.
olumsuz,Kusurlu sadece mac ile çalışıyor telefonlarda çalışmıyor.
olumsuz,Macbook Pro'da çalışmadı
olumsuz,Ürün Bozuk!
olumsuz,Bozuk
olumsuz,Kalitesiz
olumsuz,ARABADA ÇALIŞMIYOR
olumsuz,Çalışmıyor.
olumsuz,Macbook için aldım çalışmıyor
olumsuz,hemen bozuluyor
olumsuz,Kandırıldım resmen
olumsuz,çok dandik
olumsuz,kötü
olumsuz,soket uyumlu değil.
olumsuz,aldiğim vakitte çalışmadı
olumsuz,Bağlantı kesintisi
olumsuz,vasat bir ürün
olumsuz,Kalitesiz
olumsuz,Çalışmıyor çoğu ana modemle
olumsuz,Uçları Türkiye prizi değil ayrıca aparat ile gönderiyorlar
olumsuz,Çekim gücü çok zayıf
olumsuz,faydasız ürün değmez
olumsuz,Yanlış Ürün Bilgilendirmesi
olumsuz,Almanızı önermem
olumsuz,Sürekli kopma problemi yaşıyorum
olumsuz,KÖTÜ
olumsuz,Aldığıma çok pişmanım
olumsuz,cihaz çalışmıyor
olumsuz,Çekmiyor ve 5 dakikada birip kesilip tekrar bağlanıyor.
olumsuz,İnternet hızı çok düşük
olumsuz,Bağlanmıyor - Kurulumu Gereksiz Zor
olumsuz,Bağlantı Stabil Değil
olumsuz,Düşük Performans
olumsuz,Tamamen Problemli
olumsuz,Kapsama Alanı Çok Düşük ve Hız Çok Düşüyor
olumsuz,Kopuyor sürekli
olumsuz,berbat
olumsuz,bağlantısı zayıf
olumsuz,Hiçbir işe yaramıyor.
olumsuz,Tuhaflık var üründe
olumsuz,Kurulumu zor
olumsuz,kalite iyi değil
olumsuz,Sonradan bozuluyor.
olumsuz,Sinyal kalitesi dusuk
olumsuz,Yan odadan çekmiyor kötü
olumsuz,Pek işe yaramıyor
olumsuz,Netflix seyretmek için almıştım fakat hem aktarım hızı hem bağlantı olarak beğenmedim.
olumsuz,ürün o kadar da verimli değil
olumsuz,çekim gücü kötü kutu üzerindeki karekodlar bozuk
olumsuz,Çekim Gücü Düşük
olumsuz,Kalitesiz
olumsuz,Çok kötü!
olumsuz,Kesinti çok
olumsuz,Başarısız
olumsuz,Berbat bi ürün
olumsuz,Kurulumu zor ve fonksiyonel değil
olumsuz,Markaya güvenip almayın Son derece başarısız bir ürün !!!
olumsuz,Xiaomi WiFi güçlendirici
olumsuz,Kesinlikle tavsiye etmiyorum
olumsuz,Sinyal ve hasar
olumsuz,düşük
olumsuz,Bağlantı kalitesini artırmak yerine düşürüyor
olumsuz,iadem yapılmadı
olumsuz,Kesinlikle önerilmez...
olumsuz,Çöp!
olumsuz,Aklınız varsa bu ürünü tercih etmeyin neden?
olumsuz,Sakın almayın
olumsuz,Berbat
olumsuz,Kesinlikle güvenmeyin
olumsuz,Hayal kırıklığı
olumsuz,5 ay sonunda çalışmaz hale geldi
olumsuz,Uyduruk
olumsuz,Rexonaya yakışmayacak kadar kötü
olumsuz,kokusu rezil arkadaşlar
olumsuz,Kötü
olumsuz,KALİTE DUSUK
olumsuz,Kapağın içine akmış.
olumsuz,Beyaz tişörtlerimi rezil etti.
olumsuz,Ürün akmis
olumsuz,TIKANIYOR VE DONUYOR
olumsuz,Kalıcılık yok
olumsuz,Ürünü kokusu hiç güzel dehil
olumsuz,O kadar küçük ki inanamadım
olumsuz,kapağı bozuk geldi
olumsuz,Kendi kendine akiyo
olumsuz,orijinin degil
olumsuz,Ürünün açıklaması yetersiz
olumsuz,Ürün orjinal mi
olumsuz,Rengi aşırı koyu
olumsuz,kapatmıyor
olumsuz,Yanlış renk
olumsuz,Berbat
olumsuz,Renk alakasız ALMAYIN
olumsuz,Başlığı bozuk çevrilmiyor
olumsuz,Orginal değil
olumsuz,Dayanıklı değil
olumsuz,ALMAYIN
olumsuz,Çok kötü
olumsuz,light versiyonu aldım rengi farklı dokusu farklı
olumsuz,Bozuk
olumsuz,Tavsiye etmiyorum laptopum çizik içinde kaldı!
olumsuz,Hatalı ürün geldi
olumsuz,Çok kullanışlı değil
olumsuz,pek iyi değil
olumsuz,Ürünün kalitesi
olumsuz,Sabit durmuyor
olumsuz,kalite çok kötü
olumsuz,Kalitesi Çok düşük
olumsuz,kalitesiz
olumsuz,taşınabililir laptop standım kırıldı.
olumsuz,Dandik
olumsuz,ürün kusurlu geldi
olumsuz,Kesinlikle tavsiye etmiyorum
olumsuz,Kullanılmış ürün
olumsuz,Maalesef açı yeterli değil!
olumsuz,Ürün sağlam gelse güzel
olumsuz,Yine Çin malı ve yine Kötü
olumsuz,Ürün kalitesi iyi değil
olumsuz,Pimi düşüyor
olumsuz,Berbat kalite ve uyumsuz ürün.
olumsuz,ikinci gün kırıldı
olumsuz,Ürün üzerinde hasarlar mevcut ayrıca ayaklarında denge yok biri uzun diğeri kısa
olumsuz,Düşük kalite
olumsuz,çok kalitesiz
olumsuz,Sağ ayağı daha kısa
olumsuz,ürünün konsepti güzel
olumsuz,15.6 Laptop için yetersiz mukavemet
olumsuz,Cıkabılen ayaklar
olumsuz,ÇOK KÖTÜ
olumsuz,Dengeli değil
olumsuz,bozuk geldi
olumsuz,5 Ayda arızalandı
olumsuz,Scrool tuşu bozulması ve deri kalkması
olumsuz,Sağ Tıkı Bozuluyor
olumsuz,Scroll( mouse tekeri) çok hızlı bir şekilde bozuldu.
olumsuz,beş para etmez
olumsuz,Dandik ve kötü ürün
olumsuz,Sensörü Kötü
olumsuz,Sorunlu
olumsuz,Kronik olarak sol click arızalı!
olumsuz,Kronik Bağlantı Sorunu
olumsuz,Ürün kronik sorunlu
olumsuz,üründe az kullanımda catlama oldu
olumsuz,Pil ömrü palavra
olumsuz,PİL CANAVARI
olumsuz,ÇALIŞMIYORRR
olumsuz,Beğenmedim
olumsuz,Pil Ömrü 400+ değil -40 saat.
olumsuz,Başarısız
olumsuz,Tık problemi ve donma sorunu var
olumsuz,SATIŞ SONRASI HİZMET BERBAT
olumsuz,ÜRÜN BOZUK
olumsuz,Tuşları bozuldu
olumsuz,Aşırı şekilde kötü
olumsuz,tavsiye etmiyorum
olumsuz,Bağlantı
olumsuz,İade ettiğim tek ürün
olumsuz,bağlantı problemi
olumsuz,Hiç rahat değil ve çok kötü malzeme kalitesi.
olumsuz,ürün kronik sorunlu.
olumsuz,Ürün Nano Alıcısı Çalışmıyor
olumsuz,bozuldu
olumsuz,dandik ürün
olumsuz,2 ayda bozuldu
olumsuz,1 senede bozuldu.
olumsuz,Berbat ürün berbat sistem
olumsuz,çok çabuk bozuldu
olumsuz,Eksik parca
olumsuz,Ürün kusurlu geldi
olumsuz,Kablolu olanı almadığıma pişmanım
olumsuz,Kablosuz hiç iyi değil
olumsuz,yeni pil ile çalışmıyor
olumsuz,F1 de kronik hatalı bence
olumsuz,LT ve RT tuşları bozuluyor
olumsuz,İdare eder
olumsuz,İğrenç
olumsuz,Bence degmez
olumsuz,en ucuz konsolun yapmadığını yapıyor...
olumsuz,Ürün genel itibariyle arızalı.
olumsuz,ürün arızalı
olumsuz,Titreşim yok
olumsuz,6. ayda bozuldu
olumsuz,Fiyatın aşırı düşmesi
olumsuz,Kesinlikle almayın
olumsuz,Faturam halâ gelmedi faturamı gondermediniz
olumsuz,SON TERCİHİNİZ OLSUN BU GAMEPAD
olumsuz,Çoğu oyunda çalışmıyor
olumsuz,alma
olumsuz,tuşları takılıyor
olumsuz,Aynı gün teslimat sorunu
olumsuz,Ürünün sahte olup olmadığını bilmem ama ortada bariz bir kalitesizliğin olduğu kesin.
olumsuz,Gereksiz pahalı 200tlye aldığınız mausepad ile ayni
olumsuz,BERBATTTTT!!!!
olumsuz,teslimat süresi berbat ötesi
olumsuz,kolay eskiyor
olumsuz,Kullanılmış Ürün
olumsuz,KUTU ÇOK TOZ ve TOPRAK DOLU
olumsuz,aşırı derecede terletiyor
olumsuz,Rgb Problemi
olumsuz,YANLIŞ ÜRÜN GELDİ.
olumsuz,gereksiz pahalı
olumsuz,Fazla sağlam olduğunu düşünmüyorum
olumsuz,renk problemli
olumsuz,basit mauspadler kadar etkisiz
olumsuz,Mouse Donuyor
olumsuz,leş
olumsuz,Ürün düz durmuyor. Dalgalı bir yapısı var.
olumsuz,Kenarları atıyor
olumsuz,logosu soyuldu
olumsuz,Başarısız 1450 tl boşa gitti
olumsuz,kova pedalı takılıyor.
olumsuz,Fiyasko
olumsuz,Eksik ürün
olumsuz,Çok kalitesiz
olumsuz,Kalitesiz
olumsuz,çöp çok kullanışsız
olumsuz,Vileda turbo temizlik seti yok
olumsuz,Eksik ürün ile geldi
olumsuz,Pedal boşa dönmesi
olumsuz,Pedal boşa dönmesi kötü
olumsuz,Eksik ürün
olumsuz,sorunlu ürün iade sorunu.
olumsuz,Ürün hasarlı çalışmıyor
olumsuz,Kaza riski var!
olumsuz,Malzeme kalitesi kötü
olumsuz,Pedal sorunu
olumsuz,Pedalı bozuldu
olumsuz,Ürün çabuk bozuluyor
olumsuz,Ürün arızalı geldi
olumsuz,Vileda Turbo Pedallı Paspas bir Ayda Bozuldu
olumsuz,Bozuldu
olumsuz,Bozuk pedal
olumsuz,kusurlu teslim edildi
olumsuz,eziyet
olumsuz,İŞ GÖRMEZ KALİTESİZ
olumsuz,Görseldeki gibi bir ürün değil.
olumsuz,Uygunsuz
olumsuz,Çok Kalitesiz
olumsuz,Rakam sayısı yetersiz
olumsuz,Eksik Parça Gönderimi Nedeniyle Hiçbir İşe Yaramayan Numaratör.
olumsuz,Kullanışsız
olumsuz,Uyduruk ve kalitesiz
olumsuz,Eksik
olumsuz,Kırık olarak teslim edildi.
olumsuz,Kullanışsız ve çok dayanıksız
olumsuz,Eksik Malzeme
olumsuz,Kalitesi çok düşük.
olumsuz,Aşırı derecede kalitesiz.
olumsuz,Kırık
olumsuz,Basit
olumsuz,Çok basit
olumsuz,Malzeme kırık geldi
olumsuz,üzdü
olumsuz,Plastik kötü
olumsuz,KESİNLİKLE ALINMAZ
olumsuz,Kalitesiz
olumsuz,Kalitesiz alet
olumsuz,Kalitesiz malzeme
olumsuz,Kalitesiz ürün
olumsuz,Numara eksik 5 rakamı
olumsuz,Berbat
olumsuz,Kalite Sıfır
olumsuz,Eksik numara gönderildi
olumsuz,Kırık ürün
olumsuz,Memnuniyet
olumsuz,Sıcakta eriyor!
olumsuz,Kırık geldi
olumsuz,Çok kötü
olumsuz,Sunumu ve içindekiler arasında çok fark var
olumsuz,Gece belli olmuyor
olumsuz,Kullanışlı değil
olumsuz,Yanıltıcı Ürün Tanıtımı - Çok Kötü
olumsuz,Kırık
olumsuz,Kırık beş para etmez
olumsuz,Ürün çok basit
olumsuz,kalitesiz
olumsuz,PAKETSİZ KARGOYA VERMİŞLER TIRNAKLARI KIRIK GELDİ KULLANIMA UYGUN DEĞİL
olumsuz,Karton gibi
olumsuz,Berbat
olumsuz,Aşırı kalitesiz
olumsuz,İki kere aldım ikisi de kırık geldi tek tarafları
olumsuz,Pişmanlık
olumsuz,kırık geldi kullanılmıyor.
olumsuz,görseldeki ürün ile gönderilen ürün farklı
olumsuz,Büyük ihtimalle içinde bir parça kırılmış
olumsuz,Ürün kırık ve kutusu açık halde geldi.
olumsuz,Kalitesiz ve kırık bir ürün geldi.
olumsuz,Kalitesiz ürün
olumsuz,Baş belası sinir katsayınız artabilir
olumsuz,çok basit
olumsuz,Güneş dayanıklılık sıfır
olumsuz,İçindeki Plastik Parçalar Kırık
olumsuz,Rezalet
olumsuz,Ürün çok basit plastikten yapılmış hemen kırıldı
olumsuz,Plastik kalitesi çok kötü.
olumsuz,Kalitesiz plastik
olumsuz,İşlevsiz
olumsuz,Bozuk
olumsuz,Çizik geldi
olumsuz,Erime oldu
olumsuz,KALİTESİZ
olumsuz,Görsele aldanmayın
olumsuz,Çatlak
olumsuz,kötü ürün güneşte yamuldu
olumsuz,Kalitesiz
olumsuz,Kalitesiz parça
olumsuz,Kalitesizdi
olumsuz,Tek rakam eksik
olumsuz,Önermem
olumsuz,Rakam sayısı az ve yapışmıyor
olumsuz,kötü çıktı
olumsuz,Aşırı dandik bir ürün.
olumsuz,Berbat
olumsuz,ucuz ama kalitesiz
olumsuz,Güneşte eridi
olumsuz,çok kötü
olumsuz,Ürün bahsedildiği gibi fosforlu değil.
olumsuz,Kalitesiz malzeme kalitesiz ürün
olumsuz,Fotoğraf yanıltıcı
olumsuz,Karanlıkda Fosforlu rakamlar görülmüyor
olumsuz,Olumsuz
olumsuz,ürün açılmış
olumsuz,Rakamların adedi
olumsuz,Kalitesiz.
olumsuz,Çok basit
olumsuz,2 Adet aldım biri bozuk geldi
olumsuz,Eridi
olumsuz,içinden rakamlar çıkmadığı için kullanamadım. boş ince aynalı kutu.
